AREA NAME,Premis Desc,count.
77th Street,STREET,7653
77th Street,PARKING LOT,627
77th Street,DRIVEWAY,311
77th Street,GARAGE/CARPORT,42
77th Street,PARKING UNDERGROUND/BUILDING,4
Central,STREET,3244
Central,PARKING LOT,1223
Central,GARAGE/CARPORT,355
Central,PARKING UNDERGROUND/BUILDING,90
Central,DRIVEWAY,29
Devonshire,STREET,2806
Devonshire,PARKING LOT,707
Devonshire,DRIVEWAY,248
Devonshire,GARAGE/CARPORT,106
Devonshire,PARKING UNDERGROUND/BUILDING,16
Foothill,STREET,3592
Foothill,PARKING LOT,648
Foothill,DRIVEWAY,183
Foothill,GARAGE/CARPORT,41
Foothill,PARKING UNDERGROUND/BUILDING,5
Harbor,STREET,4603
Harbor,PARKING LOT,1049
Harbor,DRIVEWAY,194
Harbor,GARAGE/CARPORT,118
Harbor,PARKING UNDERGROUND/BUILDING,25
Hollenbeck,STREET,5284
Hollenbeck,PARKING LOT,640
Hollenbeck,DRIVEWAY,147
Hollenbeck,GARAGE/CARPORT,61
Hollenbeck,PARKING UNDERGROUND/BUILDING,9
Hollywood,STREET,2884
Hollywood,PARKING LOT,634
Hollywood,GARAGE/CARPORT,254
Hollywood,DRIVEWAY,130
Hollywood,PARKING UNDERGROUND/BUILDING,47
Mission,STREET,4875
Mission,PARKING LOT,813
Mission,DRIVEWAY,186
Mission,GARAGE/CARPORT,87
Mission,PARKING UNDERGROUND/BUILDING,12
N Hollywood,STREET,3763
N Hollywood,PARKING LOT,776
N Hollywood,GARAGE/CARPORT,258
N Hollywood,DRIVEWAY,181
N Hollywood,PARKING UNDERGROUND/BUILDING,53
Newton,STREET,7259
Newton,PARKING LOT,748
Newton,DRIVEWAY,130
Newton,GARAGE/CARPORT,43
Newton,PARKING UNDERGROUND/BUILDING,3
Northeast,STREET,4407
Northeast,PARKING LOT,536
Northeast,DRIVEWAY,214
Northeast,GARAGE/CARPORT,108
Northeast,PARKING UNDERGROUND/BUILDING,13
Olympic,STREET,4423
Olympic,PARKING LOT,766
Olympic,GARAGE/CARPORT,306
Olympic,DRIVEWAY,110
Olympic,PARKING UNDERGROUND/BUILDING,62
Pacific,STREET,3968
Pacific,PARKING LOT,1449
Pacific,GARAGE/CARPORT,529
Pacific,DRIVEWAY,254
Pacific,PARKING UNDERGROUND/BUILDING,108
Rampart,STREET,4614
Rampart,PARKING LOT,554
Rampart,GARAGE/CARPORT,144
Rampart,DRIVEWAY,56
Rampart,PARKING UNDERGROUND/BUILDING,27
Southeast,STREET,6265
Southeast,PARKING LOT,575
Southeast,DRIVEWAY,236
Southeast,GARAGE/CARPORT,29
Southeast,PARKING UNDERGROUND/BUILDING,11
Southwest,STREET,5561
Southwest,PARKING LOT,630
Southwest,DRIVEWAY,195
Southwest,GARAGE/CARPORT,104
Southwest,PARKING UNDERGROUND/BUILDING,16
Topanga,STREET,2230
Topanga,PARKING LOT,794
Topanga,DRIVEWAY,195
Topanga,GARAGE/CARPORT,143
Topanga,PARKING UNDERGROUND/BUILDING,26
Van Nuys,STREET,3275
Van Nuys,PARKING LOT,854
Van Nuys,GARAGE/CARPORT,162
Van Nuys,DRIVEWAY,157
Van Nuys,PARKING UNDERGROUND/BUILDING,148
West LA,STREET,2350
West LA,PARKING LOT,432
West LA,GARAGE/CARPORT,358
West LA,DRIVEWAY,230
West LA,PARKING UNDERGROUND/BUILDING,48
West Valley,STREET,3249
West Valley,PARKING LOT,649
West Valley,DRIVEWAY,194
West Valley,GARAGE/CARPORT,119
West Valley,PARKING UNDERGROUND/BUILDING,31
Wilshire,STREET,3327
Wilshire,PARKING LOT,422
Wilshire,DRIVEWAY,203
Wilshire,GARAGE/CARPORT,149
Wilshire,PARKING UNDERGROUND/BUILDING,41
